"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"07/31/2026","SUNCOAST AUTO FINANCE PAYMT","-385.00","","Pending"
"07/31/2026","GEICO INSURANCE PREM","-141.54","","Pending"
"07/31/2026","GOOGLE *GOOGLE ONE","-2.99","","Pending"
"07/31/2026","NETFLIX.COM","-15.49","","Pending"
"07/31/2026","DD *DOORDASH 798","-34.27","","Pending"
"07/30/2026","COMCAST / XFINITY","-95.00","","Pending"
"07/30/2026","VERIZON WIRELESS","-86.25","","Pending"
"07/30/2026","PLANET FITNESS","-24.99","","Pending"
"07/30/2026","SPOTIFY USA","-11.99","","Pending"
"07/30/2026","DD *DOORDASH 415","-41.18","","Pending"
"07/30/2026","SHELL OIL 349","-34.72","","Pending"
"07/30/2026","SUNPASS TOLL AUTHORITY","-2.50","","Pending"
"07/29/2026","DUKE ENERGY","-179.71","","Posted"
"07/29/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/27/2026","HELLOFRESH","-71.97","","Posted"
"07/27/2026","DD *DOORDASH 807","-42.74","","Posted"
"07/26/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/26/2026","CHECK","-60.00","102","Posted"
"07/25/2026","STARBUCKS STORE 816","-5.25","","Posted"
"07/24/2026","AMAZON MKTPL*78M424","-68.39","","Posted"
"07/23/2026","DD *DOORDASH 233","-34.99","","Posted"
"07/23/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/22/2026","STARBUCKS STORE 414","-7.34","","Posted"
"07/22/2026","AMAZON MKTPL*53T809","-56.97","","Posted"
"07/22/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/21/2026","ACME CORP PAYROLL","2834.76","","Posted"
"07/21/2026","DD *DOORDASH 152","-17.76","","Posted"
"07/21/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/20/2026","HELLOFRESH","-63.28","","Posted"
"07/18/2026","DD *DOORDASH 451","-38.68","","Posted"
"07/18/2026","KROGER #575","-101.33","","Posted"
"07/18/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/17/2026","DD *DOORDASH 209","-41.54","","Posted"
"07/16/2026","DD *DOORDASH 406","-20.49","","Posted"
"07/14/2026","HELLOFRESH","-71.48","","Posted"
"07/14/2026","DD *DOORDASH 656","-31.85","","Posted"
"07/14/2026","SHELL OIL 601","-45.34","","Posted"
"07/13/2026","DD *DOORDASH 457","-37.04","","Posted"
"07/13/2026","AMAZON MKTPL*74S439","-16.85","","Posted"
"07/13/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/12/2026","DD *DOORDASH 676","-26.37","","Posted"
"07/12/2026","SHELL OIL 777","-42.75","","Posted"
"07/11/2026","DD *DOORDASH 568","-25.63","","Posted"
"07/11/2026","KROGER #868","-65.30","","Posted"
"07/10/2026","DD *DOORDASH 421","-24.91","","Posted"
"07/10/2026","STARBUCKS STORE 389","-6.85","","Posted"
